words,id
kupaksakan,2
kupastikan,3
kupunya,1
kuputarkan,1
kurasakan,1
kurindu,1
kutahan,1
kutanamkan,3
kutanya,1
kutaruh,1
kutemui,2
kuterima,2
kutrima,5
kuungkapkan,1
kuyakinkan,2
kеnangan,1
lagi,36
lagu,2
lain,6
lalu,7
lalui,2
lama,3
lampu,1
landak,1
langit,2
langkah,2
langkahku,1
lantas,4
lapen,1
lara,6
laras,1
lari,1
latarku,3
latarmu,3
lautan,2
layar,1
lebih,8
ledalede,6
lelah,3
lelap,1
lelur,1
lemah,2
lemahkan,2
lembar,1
lembaran,3
lembu,1
lembutkan,1
lengkapi,7
lesu,1
letakkan,3
lewat,5
lewati,2
lihai,3
lihat,6
lima,1
limun,1
lini,1
lirih,2
loyo,1
lucu,1
luka,10
lukai,1
lukiskan,3
lupa,2
lupakan,4
lupakanmu,3
mabuk,1
mahligai,2
makna,1
maksud,1
malah,6
malaikat,1
malam,2
malu,1
mampu,10
mampukah,3
mampus,1
mana,7
manusia,5
marah,3
marmoyo,2
masa,4
masalah,2
masih,32
mata,9
matahari,1
mataku,2
matamu,3
mati,9
mau,5
megah,1
melamun,1
melangkah,1
melanjutkan,2
melebur,1
melewat,1
melihat,2
melihatku,1
melihatmu,6
melirik,1
melompatlompat,1
meloncat,1
meluap,1
melukai,2
melukis,2
melukiskan,1
melupakan,4
melupakanku,1
melupakanmu,3
memaksakan,1
memandang,3
memang,4
membalut,1
membasuh,1
membawa,1
membawamu,1
membekas,1
membenci,1
membiru,2
membohongi,3
membuat,1
membuatku,9
membuatmu,1
membungkus,1
membunuhku,1
membutuhkanku,1
memelukku,4
memikirkan,1
memilih,7
memilikimu,1
meminta,2
meminum,3
meminumnya,1
memori,3
mempan,1
memujamu,1
memukul,1
memulai,2
memutar,1
menabuh,1
menangis,5
menanti,4
menaruh,4
menata,3
mencari,5
mencintaimu,8
mencintamu,2
mencoba,2
mendayu,1
mendehem,1
mendekat,1
mendewasakan,2
menemanimu,1
menembus,2
menemui,3
menemukan,3
menemukanmu,2
menepi,1
menepikan,1
menerima,4
menetap,1
mengabdi,2
mengajarkan,1
mengalir,1
mengambil,1
mengandung,1
mengantar,1
mengapa,25
mengempit,1
mengenal,2
mengenang,1
mengering,1
mengerti,5
mengeruh,2
mengevaluasi,1
menggantikanmu,2
menggebugebu,2
menggeloyor,1
menggerong,1
menggok,6
menggonggong,1
menghadapi,3
menghakimimu,3
menghapusmu,1
menghias,1
menghilang,11
menghubungimu,1
mengikat,1
mengingat,2
menginginkanmu,1
mengubah,1
mengucap,2
mengukir,3
mengulang,4
mengutuki,1
menikmati,2
meninggalkan,3
meninggalkanku,3
menjadi,9
menjalani,2
menjauh,3
menjelajahi,1
menoleh,3
menunggu,6
menuntut,1
menyadarkanku,2
menyebalkannya,1
menyebutmu,1
menyela,1
menyembuhkan,3
menyepi,1
menyerah,4
menyesal,2
menyimpan,3
merajut,2
merangkai,1
merangkum,1
merasa,2
merasakannya,1
merayu,1
merebut,3
mereka,5
merelakanmu,4
merenungi,1
merubah,3
merumput,1
meski,10
meskipun,1
mesti,1
miliki,4
milikimu,1
milikku,3
mimpi,2
mimpiku,3
mimpin,6
minum,1
miringmiring,1
miringnya,1
mlenuk,1
mloyo,3
mmmm,2
monokrom,1
muak,15
mudah,5
mudaku,1
muka,3
mulai,6
mungkin,16
mеngapa,1
nafasku,1
naifku,1
nak,3
namamu,1
namun,12
nanti,2
nasib,1
ndheprok,6
ngarep,6
ngumpat,1
nihil,1
nong,68
nyai,2
nyala,5
nyampar,1
nyandung,1
nyanyikan,6
nyata,3
nyatanya,1
nyawaku,5
nyungsep,1
obatnya,1
oh,11
ohh,1
ohho,1
ohoh,1
ohohoh,2
ohohohoh,1
ohoo,1
ohwooh,3
olehku,1
olehmu,3
ompong,1
ooh,2
orang,3
pabila,1
pada,11
padahal,6
padaku,6
padamu,10
pagi,3
pak,3
paling,3
pambage,6
pangeranku,1
panggung,2
pangkuan,1
pantaskah,4
pasti,2
patahkan,5
pedih,3
pelangi,1
pelawak,1
pelipur,6
pelukanmu,2
penanya,1
pengganti,1
penggantimu,3
pengging,1
penuh,1
penyebabnya,1
peran,2
perasaan,3
percaya,1
percuma,1
pergi,30
peri,1
perih,1
perjalanan,2
perjalananku,1
perjalananmu,1
perlahan,1
perlu,2
permata,3
pernah,12
persilahkan,1
persinggahanmu,2
persis,1
pertama,15
pertamaku,4
pesona,1
pesta,1
petik,1
petruk,1
pijar,1
pikiran,1
pinggir,1
pria,3
puas,1
puisi,1
pulang,4
pun,6
punggung,3
punggungmu,3
punya,2
purapura,3
putih,3
ragamu,1
ragu,1
ragukan,1
rahasia,1
ramai,1
rancu,2
ranto,9
rapuh,2
rasa,13
rayu,1
rebah,1
reda,3
redam,1
rela,5
remuk,1
renjana,2
retaknya,1
rindu,12
rinduku,4
rindunya,1
rintangan,1
ro,23
roknya,1
rotasi,1
roti,1
ruang,4
rumah,8
rumahku,1
runtuhkan,1
rupanya,1
saat,39
saatnya,3
sabda,1
sadar,4
sadarkah,4
saja,18
sakit,8
sama,10
samar,2
sampai,16
sampaikan,4
sampingku,3
sampingmu,1
samudra,5
sana,1
sanake,1
sandaran,1
sang,14
sangat,7
sanggup,11
sapi,1
satu,6
satukan,1
satusatunya,7
sayang,5
sayangku,5
sayangmu,1
sayap,2
sayapku,1
sbelum,1
seakan,3
seandainya,8
searah,1
sebab,3
sebaik,2
sebelum,3
sedalam,3
sedang,2
sederhana,3
sedih,1
sedikit,5
seerateratnya,3
segalanya,1
segampang,3
seguling,1
sehat,2
seindah,4
seisi,3
sejak,3
sejenak,5
sekali,4
sekarang,1
sekedar,2
sekeras,1
selain,1
selalu,9
selama,6
selamanya,3
selamat,6
selesai,2
seluruh,3
semar,1
sembuh,4
sembuhkan,2
sembunyi,1
semoga,3
sempat,3
semprong,1
sempurna,14
sempurnanya,3
semu,2
semua,28
semuaa,1
semuanya,7
semudah,2
semula,1
sendiri,13
sengkuni,12
sengsara,1
senja,4
senyuman,1
senyumku,3
seolah,1
sepahit,1
separuhnya,2
sepenuh,1
seperti,25
sepertimu,3
sepi,2
serba,1
sesaatmu,5
sesal,1
sesalku,1
setan,1
setelah,2
setengah,3
setia,8
setiap,6
setulus,1
sialsialnya,1
siangnya,1
siapa,1
siasia,2
sini,12
sisa,3
skali,2
slalu,11
slama,2
slamanya,1
sore,1
sosok,3
sperti,6
spiritus,1
sriwedari,1
suara,3
suaramu,3
suatu,2
sudah,15
sudut,1
sukma,1
sulit,5
sungai,1
sungguh,5
surut,1
syukurilah,1
tahu,32
tahukah,3
tahun,2
tahunku,1
tak,139
takkan,28
taksu,1
takuttakut,1
tampak,1
tanah,1
tangan,1
tanganku,1
tanganmu,4
tangannya,2
tanpa,17
tanpamu,4
tapi,14
tau,6
tawa,1
tawamu,3
telah,16
teman,1
temanku,1
tempat,5
tempatku,2
temui,2
temukan,2
tenan,1
tengah,3
tenggelam,3
tentang,5
tentangku,2
tentangnya,1
tentu,2
tentukan,1
tepat,1
terancam,1
terang,1
terasa,2
terbagi,1
terbang,4
terbangun,1
terberat,3
terbiasa,3
terbuka,1
tercantik,1
tercipta,1
terdiam,1
terendam,2
tergambar,1
terganti,3
tergetar,1
terguling,2
terikat,3
terima,3
terindah,2
