numCharts,id,track,artist_id,artist,album_id,album,release_date,link,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,genre,image,song_url,artist_url
21,1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,7tYKF4w9nC0nq9CsPZTHyP,SZA,1nrVofqDRs7cpWXJ49qTnP,SOS,2022-12-08,https://api.spotify.com/v1/tracks/1Qrg8KqiBpW07V7PNxwwwL,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,audio_features,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,https://api.spotify.com/v1/tracks/1Qrg8KqiBpW07V7PNxwwwL,https://api.spotify.com/v1/audio-analysis/1Qrg8KqiBpW07V7PNxwwwL,153947,4,pop,https://i.scdn.co/image/ab6761610000e5eb7eb7f6371aad8e67e01f0a03,https://open.spotify.com/track/1Qrg8KqiBpW07V7PNxwwwL,https://open.spotify.com/artist/7tYKF4w9nC0nq9CsPZTHyP
22,1dQQ2QlnvXUehsRUrukKmf,Right Now,4AK6F7OLvEQ5QYCBNiQWHq,One Direction,7p1fX8aUySrBdx4WSYspOu,Midnight Memories (Deluxe),2013-11-25,https://api.spotify.com/v1/tracks/1dQQ2QlnvXUehsRUrukKmf,0.645,0.78,8,-5.165,1,0.0319,0.218,0,0.0919,0.372,120.008,audio_features,spotify:track:1dQQ2QlnvXUehsRUrukKmf,https://api.spotify.com/v1/tracks/1dQQ2QlnvXUehsRUrukKmf,https://api.spotify.com/v1/audio-analysis/1dQQ2QlnvXUehsRUrukKmf,200400,4,pop,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8,https://open.spotify.com/track/1dQQ2QlnvXUehsRUrukKmf,https://open.spotify.com/artist/4AK6F7OLvEQ5QYCBNiQWHq
23,6Iq3sgLVrqqZfRitLaeHkn,Sisa Rasa,3wOsYKZM0zcKNasi3I7fP4,Mahalini,6iBh7T1cUR8MPrtly5xugU,fábula,2023-01-23,https://api.spotify.com/v1/tracks/6Iq3sgLVrqqZfRitLaeHkn,0.488,0.405,8,-6.324,0,0.0302,0.503,6.86e-6,0.108,0.152,122.049,audio_features,spotify:track:6Iq3sgLVrqqZfRitLaeHkn,https://api.spotify.com/v1/tracks/6Iq3sgLVrqqZfRitLaeHkn,https://api.spotify.com/v1/audio-analysis/6Iq3sgLVrqqZfRitLaeHkn,254863,4,pop,https://i.scdn.co/image/ab6761610000e5ebb8333468abeb2e461d1ab5ea,https://open.spotify.com/track/6Iq3sgLVrqqZfRitLaeHkn,https://open.spotify.com/artist/3wOsYKZM0zcKNasi3I7fP4
24,29lBFGkfr7EoJlb3lxi9Ij,Menyesal,7Ln5yumFjHCkeZ8bAzHUcp,Yovie Widianto,13zfefPjKHsxUJm9SZFDtE,Menyesal,2023-03-03,https://api.spotify.com/v1/tracks/29lBFGkfr7EoJlb3lxi9Ij,0.355,0.222,3,-11.572,0,0.0335,0.92,4.24e-6,0.105,0.214,106.019,audio_features,spotify:track:29lBFGkfr7EoJlb3lxi9Ij,https://api.spotify.com/v1/tracks/29lBFGkfr7EoJlb3lxi9Ij,https://api.spotify.com/v1/audio-analysis/29lBFGkfr7EoJlb3lxi9Ij,203455,4,pop,https://i.scdn.co/image/ab6761610000e5eb5146b8acb026405ca1bd3060,https://open.spotify.com/track/29lBFGkfr7EoJlb3lxi9Ij,https://open.spotify.com/artist/7Ln5yumFjHCkeZ8bAzHUcp
25,53fKDMfQhWMSw7QKVDOTBP,Cintanya Aku,0kPb52ySN2k9P6wEZPTUzm,Tiara Andini,2qEHRe3bIRZ1DLyYMmnBK4,Cintanya Aku,2021-01-22,https://api.spotify.com/v1/tracks/53fKDMfQhWMSw7QKVDOTBP,0.516,0.338,0,-8.81,0,0.0294,0.722,1.22e-5,0.105,0.328,118.422,audio_features,spotify:track:53fKDMfQhWMSw7QKVDOTBP,https://api.spotify.com/v1/tracks/53fKDMfQhWMSw7QKVDOTBP,https://api.spotify.com/v1/audio-analysis/53fKDMfQhWMSw7QKVDOTBP,234125,4,pop,https://i.scdn.co/image/ab6761610000e5eb28747c69a86181ed0f08fd69,https://open.spotify.com/track/53fKDMfQhWMSw7QKVDOTBP,https://open.spotify.com/artist/0kPb52ySN2k9P6wEZPTUzm
26,1USA6DXJ1qsucoKnDu4vnu,Tak Kan Hilang,6Ifk2cbxyVzT41jLexYCas,Budi Doremi,6JmBf13wUd3kJEdoXgbZy5,Tak Kan Hilang,2022-02-25,https://api.spotify.com/v1/tracks/1USA6DXJ1qsucoKnDu4vnu,0.527,0.258,4,-9.499,1,0.0319,0.821,1.72e-4,0.148,0.347,139.928,audio_features,spotify:track:1USA6DXJ1qsucoKnDu4vnu,https://api.spotify.com/v1/tracks/1USA6DXJ1qsucoKnDu4vnu,https://api.spotify.com/v1/audio-analysis/1USA6DXJ1qsucoKnDu4vnu,241714,4,pop,https://i.scdn.co/image/ab6761610000e5ebc6abbb6d49403b516404f450,https://open.spotify.com/track/1USA6DXJ1qsucoKnDu4vnu,https://open.spotify.com/artist/6Ifk2cbxyVzT41jLexYCas
27,22k5lgD5F7Pc7BodEMzDrY,Saat Kau Telah Mengerti,4bAgr9zaF0bpzVGHdHuf0f,Virgoun,2KhCqrXaLVeUNuB8FifMJj,Saat Kau Telah Mengerti,2023-01-13,https://api.spotify.com/v1/tracks/22k5lgD5F7Pc7BodEMzDrY,0.378,0.306,8,-10.445,1,0.0376,0.802,0,0.0802,0.25,73.061,audio_features,spotify:track:22k5lgD5F7Pc7BodEMzDrY,https://api.spotify.com/v1/tracks/22k5lgD5F7Pc7BodEMzDrY,https://api.spotify.com/v1/audio-analysis/22k5lgD5F7Pc7BodEMzDrY,290752,4,pop,https://i.scdn.co/image/ab6761610000e5eba99ec2b3bd22a84739aac218,https://open.spotify.com/track/22k5lgD5F7Pc7BodEMzDrY,https://open.spotify.com/artist/4bAgr9zaF0bpzVGHdHuf0f
28,2bdVgAQgosGUJoViVDNeOV,LIMBO,3pc0bOVB5whxmD50W79wwO,keshi,1WVIJaAboRSwJOe4u0n0Q7,GABRIEL,2022-03-25,https://api.spotify.com/v1/tracks/2bdVgAQgosGUJoViVDNeOV,0.577,0.366,8,-11.792,1,0.0368,0.879,7.76e-5,0.137,0.0841,129.923,audio_features,spotify:track:2bdVgAQgosGUJoViVDNeOV,https://api.spotify.com/v1/tracks/2bdVgAQgosGUJoViVDNeOV,https://api.spotify.com/v1/audio-analysis/2bdVgAQgosGUJoViVDNeOV,212785,4,r&b,https://i.scdn.co/image/ab6761610000e5ebd969cf117d0b0d4424bebdc5,https://open.spotify.com/track/2bdVgAQgosGUJoViVDNeOV,https://open.spotify.com/artist/3pc0bOVB5whxmD50W79wwO
29,4GfK1qOF3uBWidbPlTCQRL,Monokrom,2iDVt6mFbtbDEZG5ax0dTi,Tulus,4szhn3xPmOJklFAcqNvTnQ,Monokrom,2016-08-03,https://api.spotify.com/v1/tracks/4GfK1qOF3uBWidbPlTCQRL,0.534,0.462,6,-9.383,1,0.0326,0.573,5.59e-6,0.0974,0.519,88.046,audio_features,spotify:track:4GfK1qOF3uBWidbPlTCQRL,https://api.spotify.com/v1/tracks/4GfK1qOF3uBWidbPlTCQRL,https://api.spotify.com/v1/audio-analysis/4GfK1qOF3uBWidbPlTCQRL,214567,4,pop,https://i.scdn.co/image/ab6761610000e5ebb2dac5833519e3b4e5f7efdb,https://open.spotify.com/track/4GfK1qOF3uBWidbPlTCQRL,https://open.spotify.com/artist/2iDVt6mFbtbDEZG5ax0dTi
30,6raMBnVBIvvUngMLyDdzyP,Rumah Singgah,6FTLayBxjkQeanFdUusk1I,Fabio Asher,4km2qQIoGCCevm1Qf51OcE,ASHER,2023-02-02,https://api.spotify.com/v1/tracks/6raMBnVBIvvUngMLyDdzyP,0.46,0.228,8,-10.666,1,0.0312,0.719,0,0.107,0.358,78.115,audio_features,spotify:track:6raMBnVBIvvUngMLyDdzyP,https://api.spotify.com/v1/tracks/6raMBnVBIvvUngMLyDdzyP,https://api.spotify.com/v1/audio-analysis/6raMBnVBIvvUngMLyDdzyP,246731,4,pop,https://i.scdn.co/image/ab6761610000e5ebd7384b119d6cdaee014015ae,https://open.spotify.com/track/6raMBnVBIvvUngMLyDdzyP,https://open.spotify.com/artist/6FTLayBxjkQeanFdUusk1I
