,id,track,artist_id,artist,album_id,album,release_date,link,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
27,5zsVcDTZEKISPTCLYiTdwb,L,5vTG3EyFrsARtIGDWZNRzu,Hal,7BkrdnCB2PqOANRu14EKEA,Perspektif,2018-08-23,https://api.spotify.com/v1/tracks/5zsVcDTZEKISPTCLYiTdwb,0.656,0.364,2,-6.877,1,0.0325,0.834,7.67e-05,0.0982,0.487,152.959,audio_features,spotify:track:5zsVcDTZEKISPTCLYiTdwb,https://api.spotify.com/v1/tracks/5zsVcDTZEKISPTCLYiTdwb,https://api.spotify.com/v1/audio-analysis/5zsVcDTZEKISPTCLYiTdwb,220852,4
28,4z6FksNI6MLCDTHrNJXhO0,Semata Karenamu,17d3zotBDOZtuWnZPxTf8v,Mario G klau,7Cc4mRgFWAomMajhwO0xr6,Semata Karenamu,2022-04-11,https://api.spotify.com/v1/tracks/4z6FksNI6MLCDTHrNJXhO0,0.603,0.325,3,-11.683,1,0.0456,0.35,0.0,0.113,0.323,123.759,audio_features,spotify:track:4z6FksNI6MLCDTHrNJXhO0,https://api.spotify.com/v1/tracks/4z6FksNI6MLCDTHrNJXhO0,https://api.spotify.com/v1/audio-analysis/4z6FksNI6MLCDTHrNJXhO0,278500,4
29,7mZxM64cMYQdx2vopaGrDf,"Andaikan Kau Datang - From ""Miracle in Cell No. 7""",6IDsZZ4IHgs9VblBgQQSmt,Andmesh,3iA7DH0b2IUs9tqGSOh3uP,"Andaikan Kau Datang (From ""Miracle in Cell No. 7"")",2022-08-29,https://api.spotify.com/v1/tracks/7mZxM64cMYQdx2vopaGrDf,0.323,0.126,9,-12.562,1,0.034,0.937,1.01e-06,0.11,0.322,84.881,audio_features,spotify:track:7mZxM64cMYQdx2vopaGrDf,https://api.spotify.com/v1/tracks/7mZxM64cMYQdx2vopaGrDf,https://api.spotify.com/v1/audio-analysis/7mZxM64cMYQdx2vopaGrDf,247464,3
30,22k5lgD5F7Pc7BodEMzDrY,Saat Kau Telah Mengerti,4bAgr9zaF0bpzVGHdHuf0f,Virgoun,2KhCqrXaLVeUNuB8FifMJj,Saat Kau Telah Mengerti,2023-01-13,https://api.spotify.com/v1/tracks/22k5lgD5F7Pc7BodEMzDrY,0.378,0.306,8,-10.445,1,0.0376,0.802,0.0,0.0802,0.25,73.061,audio_features,spotify:track:22k5lgD5F7Pc7BodEMzDrY,https://api.spotify.com/v1/tracks/22k5lgD5F7Pc7BodEMzDrY,https://api.spotify.com/v1/audio-analysis/22k5lgD5F7Pc7BodEMzDrY,290752,4
31,2UgCs0i0rNHUH2jKE5NZHE,Sempurna,4ucwey7FxkHXkLK7jSfevU,Andra & The Backbone,2puZQ79KT5q5RPae7khveD,Andra & The Backbone,2006-12-28,https://api.spotify.com/v1/tracks/2UgCs0i0rNHUH2jKE5NZHE,0.358,0.32,4,-9.946,1,0.0308,0.726,0.0,0.105,0.384,115.499,audio_features,spotify:track:2UgCs0i0rNHUH2jKE5NZHE,https://api.spotify.com/v1/tracks/2UgCs0i0rNHUH2jKE5NZHE,https://api.spotify.com/v1/audio-analysis/2UgCs0i0rNHUH2jKE5NZHE,268423,3
32,1ZPVEo8RfmrEz8YAD5n6rW,Lantas,3tMTXQyRrPmMyHv5SoC0TV,Juicy Luicy,17vUW6koeUkV58uYfkK6G3,Sentimental,2020-11-06,https://api.spotify.com/v1/tracks/1ZPVEo8RfmrEz8YAD5n6rW,0.588,0.311,8,-8.143,1,0.025,0.791,0.0,0.352,0.545,86.022,audio_features,spotify:track:1ZPVEo8RfmrEz8YAD5n6rW,https://api.spotify.com/v1/tracks/1ZPVEo8RfmrEz8YAD5n6rW,https://api.spotify.com/v1/audio-analysis/1ZPVEo8RfmrEz8YAD5n6rW,234204,4
33,630DpnzdfjdVqv2yLfPbAX,Bertaut,20zafXaLhm5IcXnSU93rNn,Nadin Amizah,75KyCmWatZRvlMcMRed9BG,Selamat Ulang Tahun,2020-05-28,https://api.spotify.com/v1/tracks/630DpnzdfjdVqv2yLfPbAX,0.47,0.131,6,-13.29,1,0.0362,0.933,0.00245,0.109,0.115,118.836,audio_features,spotify:track:630DpnzdfjdVqv2yLfPbAX,https://api.spotify.com/v1/tracks/630DpnzdfjdVqv2yLfPbAX,https://api.spotify.com/v1/audio-analysis/630DpnzdfjdVqv2yLfPbAX,315961,3
34,6raMBnVBIvvUngMLyDdzyP,Rumah Singgah,6FTLayBxjkQeanFdUusk1I,Fabio Asher,4km2qQIoGCCevm1Qf51OcE,ASHER,2023-02-02,https://api.spotify.com/v1/tracks/6raMBnVBIvvUngMLyDdzyP,0.46,0.228,8,-10.666,1,0.0312,0.719,0.0,0.107,0.358,78.115,audio_features,spotify:track:6raMBnVBIvvUngMLyDdzyP,https://api.spotify.com/v1/tracks/6raMBnVBIvvUngMLyDdzyP,https://api.spotify.com/v1/audio-analysis/6raMBnVBIvvUngMLyDdzyP,246731,4
35,1VMtsqCaMNErFRmmvt4exv,Seandainya,1WX2v0BiEW19Vw7xmznLdZ,Vierra,53c9Qg8PfGlJMHZiUz0ysq,Storytelling,2022-02-07,https://api.spotify.com/v1/tracks/1VMtsqCaMNErFRmmvt4exv,0.252,0.827,2,-4.971,1,0.0321,0.0836,0.000287,0.219,0.477,93.968,audio_features,spotify:track:1VMtsqCaMNErFRmmvt4exv,https://api.spotify.com/v1/tracks/1VMtsqCaMNErFRmmvt4exv,https://api.spotify.com/v1/audio-analysis/1VMtsqCaMNErFRmmvt4exv,263467,3
36,1b0aDgrG775i4sPQgJGmkU,Tak Ingin Usai,4EiSzlOeMnJcp2U8ayCQ3a,Keisya Levronka,2DskseIWepQ89TxfXn3MtY,Tak Ingin Usai,2022-05-13,https://api.spotify.com/v1/tracks/1b0aDgrG775i4sPQgJGmkU,0.49,0.398,0,-7.712,1,0.0266,0.815,0.000187,0.114,0.136,129.772,audio_features,spotify:track:1b0aDgrG775i4sPQgJGmkU,https://api.spotify.com/v1/tracks/1b0aDgrG775i4sPQgJGmkU,https://api.spotify.com/v1/audio-analysis/1b0aDgrG775i4sPQgJGmkU,278500,3
37,2GWzRdezjEFyYrwldE7iCl,Angin Kencang,4fVYwG8RsbJsREFFniszhf,Noh Salleh,3YLxuvVaEjjWzk6ISlZPVf,Angin Kencang,2021-01-01,https://api.spotify.com/v1/tracks/2GWzRdezjEFyYrwldE7iCl,0.462,0.751,9,-5.043,1,0.0305,0.312,0.00316,0.103,0.499,87.992,audio_features,spotify:track:2GWzRdezjEFyYrwldE7iCl,https://api.spotify.com/v1/tracks/2GWzRdezjEFyYrwldE7iCl,https://api.spotify.com/v1/audio-analysis/2GWzRdezjEFyYrwldE7iCl,237243,4
38,3JjnGLK8IxkNLvo8Lb3KOM,18,4AK6F7OLvEQ5QYCBNiQWHq,One Direction,4gCNyS7pidfK3rKWhB3JOY,FOUR (Deluxe),2014-11-17,https://api.spotify.com/v1/tracks/3JjnGLK8IxkNLvo8Lb3KOM,0.681,0.582,6,-7.76,0,0.0313,0.22,0.0,0.119,0.221,124.038,audio_features,spotify:track:3JjnGLK8IxkNLvo8Lb3KOM,https://api.spotify.com/v1/tracks/3JjnGLK8IxkNLvo8Lb3KOM,https://api.spotify.com/v1/audio-analysis/3JjnGLK8IxkNLvo8Lb3KOM,248360,4
